Best_Website,Product_name,Product_price,Product_shippingcost,Product_finalprice,ProductRating,Product_Brand,Delivery_date,Devivary_days
Amazon,"Soccer Ball Size 5 for All Age Recreational or Professional Outdoor Practice, PU Official Size&Weight, Size 5 Soccer Ball for Boys Youth Adults College Team, Ideal Gifts with Pump and Carry Net",25.99,0,25.99,4.4 out of 5 stars,Size 5-green,"Saturday, March 7",3
Amazon,"Lepro LED Desk Lamp, Table Lamps Home Office, Eye-Caring Desk Light 9W 800lm, 5 Color Modes 5 Brightness Dimmable, Touch Control Office Lamp for Task, Reading, Working, White (Plug Included)",35.99,0,35.99,4.7 out of 5 stars,GU10,"Sunday, March 8",4
